name,country,price,rating,description,attributes,duration,included,image_url,hotel_stars,season,visa
Бурабай,Казахстан,150,4.8,Озера и сосновые леса Акмолинской области,"природа, озера, лес",5 дней,Завтраки,https://cdn.nur.kz/images/1200x675/64118c788da0e450.jpeg?version=2,4*,Лето,Нет
Шымбулак,Казахстан,250,4.9,Горнолыжный курорт в Заилийском Алатау,"горы, лыжи, спорт",3 дня,Снаряжение,https://kompastour.com/useruploads/regions/region_fbd1db8d9a.jpg,5*,Зима,Нет
Чарынский каньон,Казахстан,120,4.7,Долина замков и красные скалы,"природа, каньон, пеший тур",2 дня,Трансфер,https://www.onetwotrip.com/ru/blog/wp-content/uploads/2022/05/shutterstock_1236828025.jpg,3*,Весна/Осень,Нет
Каспийское море,Казахстан,450,4.5,Отдых на побережье Актау,"море, пляж, релакс",7 дней,Все включено,https://images.unsplash.com/photo-1519046904884-53103b34b206?q=80&w=600,5*,Лето,Нет
Баянаул,Казахстан,100,4.4,Национальный парк в Павлодарской области,"природа, скалы, легенды",4 дня,Питание,https://fsd.multiurok.ru/html/2020/05/30/s_5ed296c4a49b9/1470388_7.jpeg,3*,Лето,Нет
Алаколь,Казахстан,300,4.6,Лечебное озеро с черной галькой,"вода, лечение, отдых",6 дней,Полный пансион,https://static.tildacdn.pro/tild6666-6530-4466-b435-626565666161/photo1698834023.jpeg,4*,Лето,Нет
Туркестан,Казахстан,180,4.8,Мавзолей Ходжи Ахмеда Ясави,"история, культура, паломничество",3 дня,Гид,https://e-history.kz/storage/tmp/resize/news/1200_0_111ccd1641a90daba58e26b17f36715f.jpg,4*,Весна/Осень,Нет
Алтайские Альпы,Казахстан,350,4.7,Горные пейзажи Восточного Казахстана,"горы, тайга, природа",5 дней,Отель,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?q=80&w=600,4*,Зима,Нет
Балхаш,Казахстан,220,4.3,Уникальное полупресное озеро,"рыбалка, пляж, солнце",4 дня,Завтраки,https://images.unsplash.com/photo-1439066615861-d1af74d74000?q=80&w=600,3*,Лето,Нет
Париж,Франция,1300,4.9,Эйфелева башня и Лувр,"город, культура, романтика",6 дней,Экскурсии,https://images.unsplash.com/photo-1502602898657-3e91760cbb34?q=80&w=600,5*,Круглый год,Да
Ницца,Франция,1500,4.7,Лазурный берег и средиземноморский стиль,"море, элита, пляж",7 дней,Завтраки,https://lp-cms-production.imgix.net/2023-02/3cb45f6e59190e8213ce0a35394d0e11-nice.jpg?auto=format,5*,Лето,Да
Лион,Франция,1100,4.5,Гастрономическая столица Франции,"еда, архитектура, история",5 дней,Дегустации,https://avatars.mds.yandex.net/i?id=f1e1a3ce2a56800b3491da24212eb47a_l-4575945-images-thumbs&n=13,4*,Круглый год,Да
Марсель,Франция,1200,4.4,Старый порт и замок Иф,"море, порт, история",6 дней,Трансфер,https://cdn.britannica.com/72/256372-050-7A5B39FB/marseille-notre-dame-de-la-garde-france.jpg,4*,Лето,Да
Мон-Сен-Мишель,Франция,1400,4.9,Сказочный остров-аббатство,"история, архитектура, фото",3 дня,Билеты,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Mont-Saint-Michel_vu_du_ciel.jpg/1280px-Mont-Saint-Michel_vu_du_ciel.jpg,5*,Круглый год,Да
Рим,Италия,1100,4.8,Колизей и величие древней истории,"история, архитектура, еда",5 дней,Гид,https://images.unsplash.com/photo-1552832230-c0197dd311b5?q=80&w=600,4*,Круглый год,Да
Венеция,Италия,1400,4.6,Город на воде и гондолы,"романтика, каналы, искусство",4 дня,Отели,https://i.pinimg.com/originals/f0/96/74/f09674102a705268036e72155bc8bedb.jpg?nii=t,4*,Весна/Осень,Да
Милан,Италия,1200,4.5,Столица моды и Дуомо,"шоппинг, город, мода",5 дней,Завтраки,https://img.pac.ru/resorts/213115/246232/big/CEF36EE9C0A88014357550AA88DE7E92.jpg,4*,Круглый год,Да
Флоренция,Италия,1350,4.9,Колыбель Возрождения,"искусство, музеи, история",6 дней,Гид,https://i.ytimg.com/vi/p0peKMGrNfI/maxresdefault.jpg,5*,Круглый год,Да
Токио,Япония,2100,4.9,Неоновые огни и самурайские традиции,"технологии, город, экзотика",8 дней,Завтраки,https://images.arigatotravel.com/wp-content/uploads/2026/03/10160734/Sensoji-Temple-Located-in-the-Taito-District.jpg,5*,Круглый год,Да
Киото,Япония,1900,4.9,Древние храмы и цветение сакуры,"традиции, храмы, природа",7 дней,Завтраки,https://i.ytimg.com/vi/XSaF_sDxLdo/maxresdefault.jpg,5*,Весна/Осень,Да
Осака,Япония,1700,4.7,Уличная еда и современные парки,"еда, город, развлечения",6 дней,Завтраки,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Osaka_Castle_03bs3200.jpg/960px-Osaka_Castle_03bs3200.jpg,4*,Круглый год,Да
Дубай,ОАЭ,1600,4.8,Небоскребы и шопинг в пустыне,"люкс, город, шоппинг",6 дней,Трансфер,https://www.atorus.ru/sites/default/files/styles/article_width/public/2024-08/Burj%20Khalifa%20и%20Dubai%20Fountain%2C%20Дубай.%20Фото%20Dubai%20Tourism.jpg.webp?itok=jI42hxzH,5*,Зима,Нет
Абу-Даби,ОАЭ,1400,4.7,Мечеть Шейха Зайда и остров Яс,"культура, роскошь, парки",5 дней,Завтраки,https://www.abudhabi.com/media/uploads/abudhabi.com/2025/03/abudhabi_3bh3ImA.JPG,4*,Зима,Нет
Бали,Индонезия,1700,4.9,Рисовые террасы и океан,"серфинг, природа, духовность",12 дней,Вилла,https://turskidki.ru/media/articles/item/1000/573/573.jpg,5*,Круглый год,Нет
Мале,Мальдивы,3500,4.9,Бирюзовые лагуны и подводные виллы,"море, люкс, дайвинг",7 дней,Все включено,https://i.tez-tour.travel/img/hotels/106173/29.jpg,5* Luxe,Круглый год,Нет
Санторини,Греция,1800,4.8,Белые дома на фоне синего моря,"романтика, море, фото",6 дней,Отель,https://media-cdn.tripadvisor.com/media/photo-s/22/07/57/8e/caption.jpg,5*,Лето,Да
Прага,Чехия,800,4.6,Готическая архитектура и уютные улочки,"history, архитектура, пиво",5 дней,https://i.ytimg.com/vi/NF7c85-CRBw/maxresdefault.jpg,4*,Круглый год,Да
Лондон,Великобритания,2200,4.7,Биг-Бен и британский стиль,"город, история, музеи",7 дней,Завтраки,https://as2.ftcdn.net/jpg/01/32/79/63/1000_F_132796360_Jg8K8XTpWZ2pr36tHiBK1nnDb4vjftPo.jpg,5*,Круглый год,Да
Барселона,Испания,1300,4.8,Шедевры Гауди и пляж Барселонета,"архитектура, город, море",6 дней,Экскурсии,https://avatars.mds.yandex.net/i?id=99116ecfc9cbfbe665e7ea28878a562e_l-5236767-images-thumbs&n=13,5*,Лето,Да
Мадрид,Испания,1100,4.6,Музей Прадо и королевский дворец,"культура, город, искусство",5 дней,Завтраки,https://i.ytimg.com/vi/_iPM8DzBz8g/maxresdefault.jpg,4*,Круглый год,Да
Лиссабон,Португалия,950,4.7,Старинные трамваи и океанский бриз,"город, история, океан",6 дней,Транспорт,https://www.onetwotrip.com/ru/blog/wp-content/uploads/2025/07/bolshuyu-1-2.jpg,4*,Круглый год,Да
Берлин,Германия,900,4.5,Стена и современная культура,"история, город, ночная жизнь",5 дней,Завтраки,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Museumsinsel_Berlin_Juli_2021_1_%28cropped%29_b.jpg/1280px-Museumsinsel_Berlin_Juli_2021_1_%28cropped%29_b.jpg,4*,Круглый год,Да
Мюнхен,Германия,1200,4.7,Пивные фестивали и Альпы рядом,"еда, история, горы",5 дней,Пивной тур,https://i.bigenc.ru/resizer/resize?sign=tiEwPHRAEBsxAi6DYAmCEg&filename=vault/25bc1f8637d265f06c1b566cd2341746.webp&width=1280,4*,Осень,Да
Вена,Австрия,1100,4.8,Оперные театры и венские кафе,"музыка, культура, еда",4 дня,Билет в оперу,https://avatars.mds.yandex.net/i?id=8315ae56dbb5bdf636491f7bbeb2c013_l-7012723-images-thumbs&n=13,5*,Круглый год,Да
Зальцбург,Австрия,1300,4.7,Родина Моцарта в горах,"музыка, горы, история",4 дня,Экскурсия,https://avatars.mds.yandex.net/i?id=02da102dcac1254203a86a4f4dd9ca1e_l-5686671-images-thumbs&n=13,4*,Круглый год,Да
Стокгольм,Швеция,1500,4.6,Город на островах и дизайн,"город, север, дизайн",6 дней,Транспорты,https://ethnomir.ru/upload/medialibrary/b32/stok.jpg,4*,Лето,Да
Осло,Норвегия,1700,4.5,Фьорды и современная архитектура,"природа, фьорды, город",7 дней,Завтраки,https://wikiway.com/upload/iblock/d23/Ulitsy-Oslo-5.jpg,4*,Лето,Да
Амстердам,Нидерланды,1100,4.7,Каналы и тюльпановые поля,"каналы, город, свобода",5 дней,Аренда велосипеда,https://i.pinimg.com/736x/78/f0/15/78f015e700b07044b9a22b7cbed17a14.jpg,4*,Весна,Да
